"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,A 917,2025-12-02,Worldline deposit B12029026954,,,"4 400,82",,"295 459,60"
,A 918,2025-12-03,Worldline deposit B12039050289,,,"1 617,86",,"297 077,46"
,A 919,2025-12-04,China invoice payment till Wise,,,,"297 000,00","77,46"
,A 920,2025-12-08,Worldline deposit B12069136385,,,"10 857,31",,"10 934,77"
,A 921,2025-12-08,Worldline deposit B12089184747,,,"4 611,77",,"15 546,54"
,A 922,2025-12-09,Wise transfer 55250500,,,,"15 546,00","0,54"
,A 923,2025-12-09,Worldline deposit B12099203466,,,"1 710,39",,"1 710,93"
,A 924,2025-12-10,Worldline deposit B12109227020,,,"2 889,45",,"4 600,38"
,A 925,2025-12-11,Worldline deposit B12119255696,,,"2 136,02",,"6 736,40"
,A 926,2025-12-12,Worldline deposit B12129284073,,,"5 373,35",,"12 109,75"
,A 927,2025-12-15,Frakt 50516822,,,,"2 915,00","9 194,75"
,A 928,2025-12-15,Frakt DB Schenker 9423047,,,,"127,00","9 067,75"
,A 929,2025-12-15,Frakt DB Schenker 9423047,,,,"237,00","8 830,75"
,A 930,2025-12-15,Frakt DB Schenker 9423047,,,,"988,00","7 842,75"
,A 931,2025-12-15,Frakt DB Schenker 9423047,,,,"3 113,00","4 729,75"
,A 932,2025-12-15,Frakt DB Schenker 9423047,,,,"145,00","4 584,75"
,A 933,2025-12-15,Frakt PostNord 52494309,,,,"389,00","4 195,75"
,A 934,2025-12-15,Fretag mobil Telia 47460035,,,,"569,00","3 626,75"
,A 935,2025-12-15,Plusgiro betalning 47704044,,,,"248,00","3 378,75"
,A 936,2025-12-15,Worldline deposit B12159361494,,,"4 866,82",,"8 245,57"
,A 937,2025-12-17,Frakt DB Schenker 9423047,,,,"119,00","8 126,57"
,A 938,2025-12-17,Frakt DB Schenker 9423047,,,,"76,80","8 049,77"
,A 939,2025-12-17,Worldline deposit B12179405561,,,"4 422,83",,"12 472,60"
,A 940,2025-12-19,Worldline deposit B12199460221,,,"6 409,08",,"18 881,68"
,A 941,2025-12-22,Svea Ekonomi kortterminal,,,,"248,00","18 633,68"
,A 942,2025-12-22,Worldline deposit B12219518994,,,"8 512,45",,"27 146,13"
,A 943,2025-12-29,Frakt DB Schenker 9423047,,,,"249,38","26 896,75"
,A 944,2025-12-29,Frakt DB Schenker 9423047,,,,"105,00","26 791,75"
,A 945,2025-12-29,Worldline deposit B12269613247,,,"6 894,90",,"33 686,65"
,A 946,2025-12-29,Worldline deposit B12299649730,,,"3 644,67",,"37 331,32"
,A 947,2025-12-29,Worldline deposit B12249582328,,,"4 899,72",,"42 231,04"
,A 948,2025-12-30,Worldline deposit B12309664541,,,"137,10",,"42 368,14"
,A 949,2025-12-31,Ranta Marginalen,,,"122,38",,"42 490,52"
,A 950,2025-12-31,Ranta Marginalen,,,"0,23",,"42 490,75"
,,,"""Utgående saldo:""",,"0,00","1 341 140,50","1 298 649,75","42 490,75"
,,,,,,,,
1940 Övriga bankkonton,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 319,2024-12-05,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,"8 500,00",,"8 500,00"
,A 306,2024-12-21,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,"14 000,00",,"22 500,00"
,A 340,2024-12-30,Viva Wallet - Money out to IBAN fee,,,,"6,00","22 494,00"
,A 341,2024-12-30,Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms,,,,"20 566,00","1 928,00"
,A 277,2025-01-16,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,,"1 928,00","0,00"
,A 790,2025-10-06,SEK till TRY 12486 SEK kurs 4.43116,,,"12 432,54",,"12 432,54"
,A 791,2025-10-06,EUR till TRY 124.81 EUR kurs 48.6857,,,"1 430,21",,"13 862,75"
,A 792,2025-10-06,Loan repayment TRY 61066.41 TRY kurs 4.43,,,,"13 862,75","0,00"
,,,"""Utgående saldo:""",,"0,00","36 362,75","36 362,75","0,00"
,,,,,,,,
1941 Annat bankkonto viva.com,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 339,2024-11-11,Sales Clearance Commission Cards,,,,"17,00","-17,00"
,A 338,2024-11-14,Sales Clearance Commission Cards,,,,"32,00","-49,00"
,A 337,2024-11-15,Sales Clearance Commission Cards,,,,"34,00","-83,00"
,A 336,2024-11-17,Sales Clearance Commission Cards,,,,"32,00","-115,00"
,A 335,2024-11-18,Sales Clearance Commission Cards,,,,"30,00","-145,00"
,A 334,2024-11-22,Sales Clearance Commission Cards,,,,"34,00","-179,00"
,A 332,2024-11-23,Sales Clearance Commission Cards,,,,"29,00","-208,00"
,A 333,2024-11-23,Sales Clearance Commission Cards,,,,"3,00","-211,00"
,A 329,2024-11-26,Sales Clearance Commission Cards,,,,"17,00","-228,00"
,A 330,2024-11-26,Sales Clearance Commission Cards,,,,"32,00","-260,00"
,A 331,2024-11-26,Sales Clearance Commission Cards,,,,"19,00","-279,00"
,A 327,2024-11-27,Sales Clearance Commission Cards,,,,"26,00","-305,00"
,A 328,2024-11-27,Sales Clearance Commission Cards,,,,"30,00","-335,00"
,A 325,2024-11-29,Sales Clearance Commission Cards,,,,"17,00","-352,00"
,A 326,2024-11-29,Sales Clearance Commission Cards,,,,"26,00","-378,00"
,A 324,2024-11-30,Billing Fee - Account Default Plan (2024-10-31 - 2024-11-29),,,,"58,00","-436,00"
,A 323,2024-12-02,Sales Clearance Commission Cards,,,,"3,00","-439,00"
,A 95,2024-12-04,flygbiljett,,,,"9 945,82","-10 384,82"
,A 320,2024-12-04,Sales Clearance Commission Cards,,,,"32,00","-10 416,82"
,A 321,2024-12-04,Viva Wallet Card Purchase - mytrip_1045449237,,,,"9 945,00","-20 361,82"
,A 322,2024-12-04,Sales Clearance Commission Cards,,,,"32,00","-20 393,82"
,A 96,2024-12-05,Viva bankavgift retur,,,"45,83",,"-20 347,99"
,A 97,2024-12-05,BANKKOSTNADER,,,,"298,37","-20 646,36"
,A 317,2024-12-05,Billing Fee - Foreign Currency Fee for Transaction Amount 900.49 USD (2024-12-04),,,,"298,00","-20 944,36"
,A 318,2024-12-05,Viva Cashback,,,"45,00",,"-20 899,36"
,A 319,2024-12-05,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,,"8 500,00","-29 399,36"
,A 316,2024-12-06,Sales Clearance Commission Cards,,,,"46,00","-29 445,36"
,A 315,2024-12-07,Sales Clearance Commission Cards,,,,"23,00","-29 468,36"
,A 313,2024-12-11,Sales Clearance Commission Cards,,,,"32,00","-29 500,36"
,A 314,2024-12-11,Sales Clearance Commission Cards,,,,"23,00","-29 523,36"
,A 312,2024-12-13,Sales Clearance Commission Cards,,,,"32,00","-29 555,36"
,A 311,2024-12-14,Sales Clearance Commission Cards,,,,"28,00","-29 583,36"
,A 310,2024-12-16,Sales Clearance Commission Cards,,,,"5,00","-29 588,36"
,A 307,2024-12-20,Sales Clearance Commission Cards,,,,"17,00","-29 605,36"
,A 308,2024-12-20,Sales Clearance Commission Cards,,,,"17,00","-29 622,36"
,A 309,2024-12-20,Sales Clearance Commission Cards,,,,"17,00","-29 639,36"
,A 305,2024-12-21,Sales Clearance Commission Cards,,,,"28,00","-29 667,36"
,A 306,2024-12-21,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,,"14 000,00","-43 667,36"
,A 98,2024-12-22,Viva bankavgift retur,,,"0,81",,"-43 666,55"
,A 300,2024-12-23,Sales Clearance Commission Cards,,,,"23,00","-43 689,55"
,A 301,2024-12-23,Sales Clearance Commission Cards,,,,"46,00","-43 735,55"
,A 302,2024-12-23,Sales Clearance Commission Cards,,,,"32,00","-43 767,55"
,A 303,2024-12-23,Sales Clearance Commission Cards,,,,"8,00","-43 775,55"
,A 304,2024-12-23,Sales Clearance Commission Cards,,,,"8,00","-43 783,55"
,A 299,2024-12-26,Sales Clearance Commission Cards,,,,"14,00","-43 797,55"
,A 298,2024-12-27,Sales Clearance Commission Cards,,,,"7,00","-43 804,55"
,A 296,2024-12-28,Sales Clearance Commission Cards,,,,"24,00","-43 828,55"
,A 297,2024-12-28,Sales Clearance Commission Cards,,,,"37,00","-43 865,55"
,A 294,2024-12-30,Sales Clearance Commission Cards,,,,"14,00","-43 879,55"
,A 295,2024-12-30,Sales Clearance Commission Cards,,,,"37,00","-43 916,55"
,A 99,2024-12-31,banktjnster avgift,,,,"58,00","-43 974,55"
,A 292,2024-12-31,Billing Fee - Account Default Plan (2024-11-30 - 2024-12-30),,,,"58,00","-44 032,55"
,A 293,2024-12-31,Sales Clearance Commission Cards,,,,"14,00","-44 046,55"
,A 290,2025-01-02,Sales Clearance Commission Cards,,,,"14,00","-44 060,55"
,A 291,2025-01-02,Sales Clearance Commission Cards,,,,"12,00","-44 072,55"
,A 288,2025-01-06,Sales Clearance Commission Cards,,,,"43,00","-44 115,55"
,A 289,2025-01-06,Sales Clearance Commission Cards,,,,"46,00","-44 161,55"
,A 285,2025-01-07,Sales Clearance Commission Cards,,,,"32,00","-44 193,55"
,A 286,2025-01-07,Sales Clearance Commission Cards,,,,"35,00","-44 228,55"
,A 287,2025-01-07,Sales Clearance Commission Cards,,,,"17,00","-44 245,55"
,A 284,2025-01-09,Money out to IBAN - SE2150000000057461042734 - ZSE104000077549,,,,"12 000,00","-56 245,55"
,A 283,2025-01-10,Sales Clearance Commission Cards,,,,"30,00","-56 275,55"
,A 282,2025-01-11,Viva Wallet Card Purchase - BOLAGSVERKET,,,,"1 400,00","-57 675,55"
,A 281,2025-01-12,Viva Cashback,,,"6,00",,"-57 669,55"
,A 280,2025-01-13,Sales Clearance Commission Cards,,,,"22,00","-57 691,55"
,A 279,2025-01-14,Sales Clearance Commission Cards,,,,"23,00","-57 714,55"
,A 278,2025-01-15,Sales Clearance Commission Cards,,,,"20,00","-57 734,55"
,A 276,2025-01-16,Sales Clearance Commission Cards,,,,"13,00","-57 747,55"
,A 277,2025-01-16,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,"1 928,00",,"-55 819,55"
,A 275,2025-01-17,Sales Clearance Commission Cards,,,,"11,00","-55 830,55"
,A 273,2025-01-19,Sales Clearance Commission Cards,,,,"11,00","-55 841,55"
,A 274,2025-01-19,Sales Clearance Commission Cards,,,,"25,00","-55 866,55"
,A 257,2025-01-20,Sales Clearance Commission Cards,,,,"11,00","-55 877,55"
,A 258,2025-01-20,Viva Wallet Card Purchase - FACEBK *4SMPEFYP52,,,,"50,00","-55 927,55"
,A 259,2025-01-20,Viva Wallet Card Purchase - FACEBK *9R5X8G8Q52,,,,"22,00","-55 949,55"
,A 260,2025-01-20,Viva Wallet Card Purchase - FACEBK *73Q8KHUQ52,,,,"18,00","-55 967,55"
,A 261,2025-01-20,Viva Wallet Card Purchase - FACEBK *26JAVGGQ52,,,,"22,00","-55 989,55"
,A 262,2025-01-20,Viva Wallet Card Purchase - FACEBK *Y3Y8EFYP52,,,,"22,00","-56 011,55"
,A 263,2025-01-20,Viva Wallet Card Purchase - FACEBK *XV4LEFYP52,,,,"15,00","-56 026,55"
,A 264,2025-01-20,Viva Wallet Card Purchase - FACEBK *SZTWUGGQ52,,,,"21,00","-56 047,55"
,A 265,2025-01-20,Viva Wallet Card Purchase - FACEBK *GY53QFUP52,,,,"22,00","-56 069,55"
,A 266,2025-01-20,Viva Wallet Card Purchase - FACEBK *F95NHGQQ52,,,,"22,00","-56 091,55"
,A 267,2025-01-20,Viva Wallet Card Purchase - FACEBK *AE7DEFYP52,,,,"22,00","-56 113,55"
,A 268,2025-01-20,Viva Wallet Card Purchase - FACEBK *8RHZBG4Q52,,,,"33,00","-56 146,55"
,A 269,2025-01-20,Viva Wallet Card Purchase - FACEBK *Z2VMEFYP52,,,,"33,00","-56 179,55"
,A 270,2025-01-20,Viva Wallet Card Purchase - FACEBK *ZHKQEFYP52,,,,"19,00","-56 198,55"
,A 271,2025-01-20,Sales Clearance Commission Cards,,,,"13,00","-56 211,55"
,A 272,2025-01-20,Sales Clearance Commission Cards,,,,"13,00","-56 224,55"
,A 251,2025-01-21,Viva Wallet Card Purchase - FACEBK *E4QVEFYP52,,,,"50,00","-56 274,55"
,A 252,2025-01-21,Viva Wallet Card Purchase - FACEBK *PBLRLFLQ52,,,,"50,00","-56 324,55"
,A 253,2025-01-21,Viva Wallet Card Purchase - FACEBK *NDBXCG4Q52,,,,"27,00","-56 351,55"
,A 254,2025-01-21,Viva Cashback,,,"1,00",,"-56 350,55"
,A 255,2025-01-21,Sales Clearance Commission Cards,,,,"16,00","-56 366,55"
,A 256,2025-01-21,Sales Clearance Commission Cards,,,,"25,00","-56 391,55"
,A 250,2025-01-22,Viva Wallet Card Purchase - WILLYS ESKILSTUNA C,,,,"708,00","-57 099,55"
,A 248,2025-01-23,Viva Wallet Card Refund - BOLAGSVERKET,,,"1 400,00",,"-55 699,55"
,A 249,2025-01-23,Viva Cashback,,,"3,00",,"-55 696,55"
,A 244,2025-01-24,Sales Clearance Commission Cards,,,,"69,00","-55 765,55"
,A 245,2025-01-24,Sales Clearance Commission Cards,,,,"30,00","-55 795,55"
,A 246,2025-01-24,Sales Clearance Commission Cards,,,,"42,00","-55 837,55"
,A 247,2025-01-24,Sales Clearance Commission Cards,,,,"12,00","-55 849,55"
,A 242,2025-01-25,Viva Wallet Card Purchase - ARAN FOOD AB,,,,"1 099,00","-56 948,55"
,A 243,2025-01-25,Viva Wallet Card Purchase - FACEBK *F9GBGG8Q52,,,,"16,00","-56 964,55"
,A 241,2025-01-26,Sales Clearance Commission Cards,,,,"5,00","-56 969,55"
,A 237,2025-01-27,Sales Clearance Commission Cards,,,,"3,00","-56 972,55"
,A 238,2025-01-27,Sales Clearance Commission Cards,,,,"75,00","-57 047,55"
,A 239,2025-01-27,Sales Clearance Commission Cards,,,,"15,00","-57 062,55"
,A 240,2025-01-27,Sales Clearance Commission Cards,,,,"13,00","-57 075,55"
,A 231,2025-01-28,Sales Clearance Commission Cards,,,,"17,00","-57 092,55"
,A 232,2025-01-28,Viva Wallet Card Purchase - CHILIMOBIL.SE,,,,"624,00","-57 716,55"
,A 233,2025-01-28,Sales Clearance Commission Cards,,,,"13,00","-57 729,55"
,A 234,2025-01-28,Repayment of Director's Loan  bil ,,,,"12 000,00","-69 729,55"
,A 235,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms,,,,"20 566,00","-90 295,55"
,A 236,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms,,,,"1 896,00","-92 191,55"
,A 229,2025-01-29,Viva Cashback,,,"1,00",,"-92 190,55"
,A 230,2025-01-29,Sales Clearance Commission Cards,,,,"45,00","-92 235,55"
,A 228,2025-01-30,Viva Wallet Card Purchase - Temu.com,,,,"1 750,00","-93 985,55"
,A 223,2025-01-31,Billing Fee - Account Default Plan (2024-12-31 - 2025-01-30),,,,"58,00","-94 043,55"
,A 224,2025-01-31,Sales Clearance Commission Cards,,,,"22,00","-94 065,55"
,A 225,2025-01-31,Viva Wallet Card Purchase - Temu.com,,,,"283,00","-94 348,55"
,A 226,2025-01-31,Viva Cashback,,,"7,00",,"-94 341,55"
,A 227,2025-01-31,Sales Clearance Commission Cards,,,,"7,00","-94 348,55"
,A 220,2025-02-01,Sales Clearance Commission Cards,,,,"13,00","-94 361,55"
,A 221,2025-02-01,Sales Clearance Commission Cards,,,,"16,00","-94 377,55"
,A 222,2025-02-01,Viva Cashback,,,"1,00",,"-94 376,55"
,A 219,2025-02-02,Sales Clearance Commission Cards,,,,"25,00","-94 401,55"
,A 216,2025-02-03,Sales Clearance Commission Cards,,,,"3,00","-94 404,55"
,A 217,2025-02-03,Sales Clearance Commission Cards,,,,"42,00","-94 446,55"
,A 218,2025-02-03,Sales Clearance Commission Cards,,,,"8,00","-94 454,55"
,A 212,2025-02-04,Sales Clearance Commission Cards,,,,"8,00","-94 462,55"
,A 213,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,,,,"86,00","-94 548,55"
,A 214,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,,,,"98,00","-94 646,55"
,A 215,2025-02-04,Sales Clearance Commission Cards,,,,"3,00","-94 649,55"
,A 210,2025-02-05,Viva Wallet Card Purchase - Freightseeker AB,,,,"90,00","-94 739,55"
,A 211,2025-02-05,Sales Clearance Commission Cards,,,,"11,00","-94 750,55"
,A 208,2025-02-06,Viva Wallet Card Refund - CLAS OHLSON,,,"199,00",,"-94 551,55"
,A 209,2025-02-06,Viva Wallet Card Purchase - CLAS OHLSON,,,,"618,00","-95 169,55"
,A 206,2025-02-07,Viva Cashback,,,"1,00",,"-95 168,55"
,A 207,2025-02-07,Sales Clearance Commission Cards,,,,"16,00","-95 184,55"
,A 203,2025-02-08,Viva Wallet Card Purchase - TikTok Ads,,,,"728,00","-95 912,55"
,A 204,2025-02-08,Viva Wallet Card Purchase - Freightseeker AB,,,,"131,00","-96 043,55"
